scores,videos,usertimes,systemtimes,userid,sanityscore
3,4.mp4,28139,12412,A3E8SXH0BAYG85,4
4,5.mp4,27473,5881,A3E8SXH0BAYG85,3
2,6.mp4,26634,7138,A3E8SXH0BAYG85,3
5,1.mp4,41752,10988,AKSJ3C5O3V9RB,2
1,2.mp4,19019,7286,AKSJ3C5O3V9RB,5
4,3.mp4,20435,8558,AKSJ3C5O3V9RB,4
3,4.mp4,20067,6990,AKSJ3C5O3V9RB,4
4,5.mp4,18600,85195,AKSJ3C5O3V9RB,3
4,6.mp4,18858,9123,AKSJ3C5O3V9RB,3
5,1.mp4,68386,12000,A26UIS59SY4NM6,2
1,2.mp4,21862,6237,A26UIS59SY4NM6,5
3,3.mp4,20883,15462,A26UIS59SY4NM6,4
2,4.mp4,21891,8032,A26UIS59SY4NM6,4
3,5.mp4,20705,14701,A26UIS59SY4NM6,3
2,6.mp4,20851,9681,A26UIS59SY4NM6,3
5,1.mp4,76710,13489,AORHXBTOCXFUK,2
1,2.mp4,25358,17148,AORHXBTOCXFUK,5
5,3.mp4,24172,7118,AORHXBTOCXFUK,2
4,4.mp4,23536,14295,AORHXBTOCXFUK,4
4,5.mp4,22730,7377,AORHXBTOCXFUK,2
1,6.mp4,23678,6901,AORHXBTOCXFUK,5
5,1.mp4,91039,17296,A3RLCGRXA34GC0,2
1,2.mp4,22832,9992,A3RLCGRXA34GC0,5
4,3.mp4,23476,34917,A3RLCGRXA34GC0,4
2,4.mp4,22262,13078,A3RLCGRXA34GC0,4
3,5.mp4,20299,8168,A3RLCGRXA34GC0,3
3,6.mp4,22458,7961,A3RLCGRXA34GC0,3
5,1.mp4,57892,24464,A394S7JSNUA3TS,2
1,2.mp4,18698,13175,A394S7JSNUA3TS,5
4,3.mp4,18315,13413,A394S7JSNUA3TS,4
3,4.mp4,21757,26338,A394S7JSNUA3TS,4
3,5.mp4,18799,9991,A394S7JSNUA3TS,3
2,6.mp4,18889,11112,A394S7JSNUA3TS,3
