scores,videos,usertimes,systemtimes,userid,sanityscore
1,2.mp4,16273,3020,AKSJ3C5O3V9RB,5
3,3.mp4,15788,10889,AKSJ3C5O3V9RB,4
3,4.mp4,19652,23374,AKSJ3C5O3V9RB,4
1,5.mp4,20373,8467,AKSJ3C5O3V9RB,5
2,6.mp4,14749,72118,AKSJ3C5O3V9RB,5
3,7.mp4,16336,17007,AKSJ3C5O3V9RB,3
5,1.mp4,46729,10123,AORHXBTOCXFUK,2
1,2.mp4,14793,6112,AORHXBTOCXFUK,5
4,3.mp4,15595,10423,AORHXBTOCXFUK,2
2,4.mp4,17339,5563,AORHXBTOCXFUK,5
3,5.mp4,15124,5298,AORHXBTOCXFUK,5
1,6.mp4,15765,6115,AORHXBTOCXFUK,5
1,7.mp4,15057,5450,AORHXBTOCXFUK,5
5,1.mp4,200351,29683,A1NJ6Q940T7HEB,2
1,2.mp4,31250,8224,A1NJ6Q940T7HEB,5
2,3.mp4,20644,15465,A1NJ6Q940T7HEB,4
3,4.mp4,20399,8631,A1NJ6Q940T7HEB,4
2,5.mp4,19216,10389,A1NJ6Q940T7HEB,4
2,6.mp4,19549,32935,A1NJ6Q940T7HEB,5
2,7.mp4,19868,14583,A1NJ6Q940T7HEB,3
