scores,videos,usertimes,systemtimes,userid,sanityscore
5,6.mp4,29317,6394,A1EX0MEOPF8AHT,5
4,7.mp4,57636,7460,A1EX0MEOPF8AHT,5
5,1.mp4,181684,30879,A9KSSJXDB6GPE,2
1,2.mp4,46673,63374,A9KSSJXDB6GPE,5
4,3.mp4,39090,9788,A9KSSJXDB6GPE,5
5,4.mp4,28471,8970,A9KSSJXDB6GPE,2
5,5.mp4,40110,186264,A9KSSJXDB6GPE,2
4,6.mp4,42039,65186,A9KSSJXDB6GPE,5
5,7.mp4,42252,8754,A9KSSJXDB6GPE,2
5,1.mp4,160463,60141,A18MC27WTCEBA2,5
1,2.mp4,32120,17125,A18MC27WTCEBA2,5
4,3.mp4,29070,17505,A18MC27WTCEBA2,2
3,4.mp4,28060,14775,A18MC27WTCEBA2,5
4,5.mp4,30440,7611,A18MC27WTCEBA2,2
1,6.mp4,31575,21965,A18MC27WTCEBA2,5
1,7.mp4,28869,7690,A18MC27WTCEBA2,5
5,1.mp4,95369,6275,A5LYLHG880ABE,5
1,2.mp4,31057,7168,A5LYLHG880ABE,3
4,3.mp4,73646,8075,A5LYLHG880ABE,5
5,4.mp4,170877,7592,A5LYLHG880ABE,5
4,5.mp4,49007,6726,A5LYLHG880ABE,5
5,6.mp4,37994,4881,A5LYLHG880ABE,5
5,7.mp4,33528,5122,A5LYLHG880ABE,5
