,scores,videos,usertimes,systemtimes,userid,sanityscore,end_time
4,5,5.mp4,26141,4984,A3A8P4UR9A0DWQ,2,2701392.2556734085
4,2,6.mp4,20032,78309,A2QD9PJUKW7PKK,2,2701394.1786732674
4,3,4.mp4,21725,35415,ASWZO1WY1UHEP,3,2701395.952673435
4,3,4.mp4,20947,5016,A3UV55HC87DO9C,3,2701395.9736733437
4,3,6.mp4,23946,19745,A2SSYBUT9ZM0G9,2,2701396.5346734524
4,2,5.mp4,25067,10137,A1G96GPSRSLPC0,5,2701396.856673479
4,3,6.mp4,20656,132416,A2WGW5Y3ZFBDEC,3,2701397.64367342
4,3,6.mp4,22552,24428,A22KRF782ELLB0,3,2701398.257673502
4,4,6.mp4,25023,9471,A3V9JFVZQ2XF4Y,3,2701398.3646736145
4,4,3.mp4,23315,81013,A1IU5OP7BBZHZ7,2,2701398.490673542
4,4,5.mp4,20447,4356,AJDXSXAWDDAEO,3,2701398.848673582
4,4,5.mp4,19641,6036,AOAZMLP27GD81,3,2701399.1746735573
4,2,4.mp4,20368,9653,A1L8RL58MYU4NC,3,2701399.256673336
4,4,5.mp4,18271,3943,A320QA9HJFUOZO,3,2701399.8066732883
4,2,3.mp4,19497,9178,A2GXS7E934VJQ1,3,2701399.8886733055
4,3,4.mp4,18566,1059487,AKSJ3C5O3V9RB,3,2701400.025673628
4,3,5.mp4,18834,36214,A12HZGOZQD5YK7,3,2701400.742673397
4,3,3.mp4,20061,10285,A1EITLFAMKA61U,3,2701400.7846734524
4,2,4.mp4,18994,4507,A2BW6WD7LZ9EGV,5,2701400.9126734734
4,5,5.mp4,19130,35653,A30RAYNDOWQ61S,2,2701401.2176733017
5,2,6.mp4,20176,6834,A1L8RL58MYU4NC,3,2701419.4326734543
5,1,3.mp4,22576,6482,A1G96GPSRSLPC0,5,2701419.4326734543
5,1,6.mp4,27203,9616,A16X5FB3HAFCKN,5,2701419.4326734543
5,4,4.mp4,20942,111567,A1IU5OP7BBZHZ7,2,2701419.4326734543
5,2,4.mp4,18648,7346,A1EITLFAMKA61U,3,2701419.4326734543
5,2,6.mp4,18690,18586,A12HZGOZQD5YK7,3,2701419.4326734543
5,3,4.mp4,45549,17356,A27PVIL93ZMY46,3,2701419.436673403
5,2,3.mp4,18524,15587,A2BW6WD7LZ9EGV,5,2701419.436673403
5,5,4.mp4,43126,13234,A26399B1QZ7XJJ,2,2701419.436673403
5,3,3.mp4,21179,26687,A22KRF782ELLB0,3,2701419.436673403
5,4,5.mp4,19548,41625,A2GXS7E934VJQ1,5,2701419.436673403
5,2,4.mp4,45093,65515,A2MCG5W6LHSRG9,3,2701419.436673403
5,4,6.mp4,27185,10873,A3A8P4UR9A0DWQ,5,2701419.4406733513
5,3,6.mp4,18223,53233,A30RAYNDOWQ61S,3,2701419.4406733513
5,3,4.mp4,19634,6197,A320QA9HJFUOZO,3,2701419.4406733513
5,3,3.mp4,23467,10527,A3UV55HC87DO9C,3,2701419.4406733513
5,4,6.mp4,27715,13533,A3OZ8KF0HWSVWK,3,2701419.4406733513
5,4,5.mp4,21797,11480,A2WGW5Y3ZFBDEC,3,2701419.4406733513
5,4,5.mp4,25262,11182,A2QD9PJUKW7PKK,3,2701419.4406733513
5,3,4.mp4,22906,11415,A2SSYBUT9ZM0G9,5,2701419.4406733513
5,3,4.mp4,20270,15870,AOAZMLP27GD81,3,2701419.444673538
5,4,3.mp4,19419,15287,AKSJ3C5O3V9RB,3,2701419.444673538
5,2,4.mp4,20596,13311,AJDXSXAWDDAEO,3,2701419.444673538
5,3,3.mp4,21080,8112,A3V9JFVZQ2XF4Y,3,2701419.444673538
5,3,5.mp4,23492,32320,ASWZO1WY1UHEP,3,2701419.444673538
