scores,videos,usertimes,systemtimes,userid,sanityscore
2,3.mp4,25371,8179,AOIR8V07FYMH5,2
4,4.mp4,26143,24831,AOIR8V07FYMH5,2
3,5.mp4,33109,6587,AOIR8V07FYMH5,2
3,6.mp4,77624,6331,AOIR8V07FYMH5,2
5,1.mp4,88396,11464,A31Z5TPD8QKE26,2
1,2.mp4,26350,7189,A31Z5TPD8QKE26,3
5,3.mp4,23580,3168,A31Z5TPD8QKE26,2
3,4.mp4,24446,5666,A31Z5TPD8QKE26,3
4,5.mp4,25007,13158,A31Z5TPD8QKE26,2
4,6.mp4,24716,2443,A31Z5TPD8QKE26,2
5,1.mp4,123366,15954,A3OZ8KF0HWSVWK,2
1,2.mp4,34536,28514,A3OZ8KF0HWSVWK,3
5,3.mp4,30676,11034,A3OZ8KF0HWSVWK,2
3,4.mp4,35244,17291,A3OZ8KF0HWSVWK,3
4,5.mp4,28684,8129,A3OZ8KF0HWSVWK,3
3,6.mp4,37447,7308,A3OZ8KF0HWSVWK,3
